ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"WPML Translation ID","WPML Language Code","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Dictionary Categories",_wp_page_template,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date","Section 1","Section 2","Section 3","Section 4","Section 5","Section 6","Machine Picture",Machine,"Work Place",Date,Purpose,Feedback,Comment,"Short Content",URL,Category,Picture,"PDF File",Contact,"Header sub title",Menu,Footer,"Background for custom post type"
4922,"Inch นิ้ว",2.54cm/Inch,,"2023-01-21 09:58:31",dictionary,https://token-thailand.unddev.net/dict/inch/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,inch,,default,0,0,0,open,open,"2023-01-21 09:58:31",,,,,,,,,,,,,,,,,,,,,,,
4923,indicator,ตัวแสดงไฟที่หน้าจอ,,"2023-01-21 09:58:31",dictionary,https://token-thailand.unddev.net/dict/indicator/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,indicator,,default,0,0,0,open,open,"2023-01-21 09:58:31",,,,,,,,,,,,,,,,,,,,,,,
4924,"Interlock System",ระบบเซฟตี้ที่ป้องกันการชาร์จไปทำงานไป,,"2023-01-21 09:58:31",dictionary,https://token-thailand.unddev.net/dict/interlock-system/,,,,,,,,,,Skymaster,default,publish,4,token,contact@tas-c.com,Token,Thailand,interlock-system,,default,0,0,0,open,open,"2023-01-21 09:58:31",,,,,,,,,,,,,,,,,,,,,,,
4925,"Jack Up",การตั้งขาหยั่ง,,"2023-01-21 09:58:31",dictionary,https://token-thailand.unddev.net/dict/jack-up/,,,,,,,,,,Skymaster,default,publish,4,token,contact@tas-c.com,Token,Thailand,jack-up,,default,0,0,0,open,open,"2023-01-21 09:58:31",,,,,,,,,,,,,,,,,,,,,,,
4926,"Jib จิ๊บ","แขนท่อนที่ติดกับกระเช้าข้อดีคือสามารถเข้าทำงานที่แคบๆได้ บางรุ่นสามารถขึ้นลง ซ้ายขวาได้",,"2023-01-21 09:58:31",dictionary,https://token-thailand.unddev.net/dict/jib/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,jib,,default,0,0,0,open,open,"2023-01-21 09:58:31",,,,,,,,,,,,,,,,,,,,,,,
4927,"JLG Hand Held Analyzer",เวลาบูมลิฟท์มีปัญหาสามารถเสียบสายเช็คได้ว่ามีปัญหาตรงจุดไหน,,"2023-01-21 09:58:31",dictionary,https://token-thailand.unddev.net/dict/jlg-hand-held-analyzer/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,jlg-hand-held-analyzer,,default,0,0,0,open,open,"2023-01-21 09:58:31",,,,,,,,,,,,,,,,,,,,,,,
4928,"Joystick จอยบังคับการทำงาน",ที่บังคับการขับเคลื่อนกับเลี้ยว,,"2023-01-21 09:58:35",dictionary,https://token-thailand.unddev.net/dict/joystick/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,joystick,,default,0,0,0,open,open,"2023-01-21 09:58:35",,,,,,,,,,,,,,,,,,,,,,,
4929,"Lbs (Pound) กิโลกรัม/ปอนด์",0.45kg/lbs,,"2023-01-21 09:58:35",dictionary,https://token-thailand.unddev.net/dict/lbs-pound/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,lbs-pound,,default,0,0,0,open,open,"2023-01-21 09:58:35",,,,,,,,,,,,,,,,,,,,,,,
4930,"Leveling Cylinder กระบอกไฮดรอลิคตัวปรับบาลานซ์","การปรับตัวกระเช้าบูมลิฟท์ข้างบน,ข้างล่างมี2ตัว ให้กระเช้าบาลานซ์กัน",,"2023-01-21 09:58:35",dictionary,https://token-thailand.unddev.net/dict/leveling-cylinder/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,leveling-cylinder,,default,0,0,0,open,open,"2023-01-21 09:58:35",,,,,,,,,,,,,,,,,,,,,,,
4931,"Limit Switch ลิมิตสวิตช์", เป็นสวิตช์ที่จำกัดระยะการทำงาน,,"2023-01-21 09:58:35",dictionary,https://token-thailand.unddev.net/dict/limit-switch/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,limit-switch,,default,0,0,0,open,open,"2023-01-21 09:58:35",,,,,,,,,,,,,,,,,,,,,,,
4932,"Manifold ชุดควบคุมระบบไฮโดรลิค",จะเป็นบล็อคจ่ายน้ำมันแต่ละฟังก์ชั่นไฮดรอลิค,,"2023-01-21 09:58:35",dictionary,https://token-thailand.unddev.net/dict/manifold/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,manifold,,default,0,0,0,open,open,"2023-01-21 09:58:35",,,,,,,,,,,,,,,,,,,,,,,
4933,"Motor Controller กล่องควบคุมมอเตอร์ขับเคลื่อน","ควบคุมมอเตอร์ขับเคลื่อน เป็นเครื่องที่ปล่อยกราวน์,ปล่อยไฟ หน้าที่จะขับเคลื่อนมากกว่า",,"2023-01-21 09:58:35",dictionary,https://token-thailand.unddev.net/dict/motor-controller/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,motor-controller,,default,0,0,0,open,open,"2023-01-21 09:58:35",,,,,,,,,,,,,,,,,,,,,,,
4934,"Non-Marking Tire ล้อไม่ทิ้งรอย","ล้อที่ไม่มีรอยเวลาวิ่ง จะมีแค่ฝุ่น",,"2023-01-21 09:58:35",dictionary,https://token-thailand.unddev.net/dict/non-marking-tire/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,non-marking-tire,,default,0,0,0,open,open,"2023-01-21 09:58:35",,,,,,,,,,,,,,,,,,,,,,,
4935,Nut,"คนส่วนใหญ่เรียกทั้งหมดว่าน๊อต แต่ที่จริงน๊อตคือแหวนกลมๆ จะมีน๊อตตัวผู้ตัวเมีย",,"2023-01-21 09:58:35",dictionary,https://token-thailand.unddev.net/dict/nut/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,nut,,default,0,0,0,open,open,"2023-01-21 09:58:35",,,,,,,,,,,,,,,,,,,,,,,
4936,"O Ring โอริง","วัสดุที่มีพื้นที่หน้าตัดเป็นรูปวงกลม และมีรูปทรงเป็นวงกลมด้วยเช่นกัน ผลิตมาจากวัสดุที่มีคุณสมบัติยีดยุ่นได้ ",,"2023-01-21 09:58:35",dictionary,https://token-thailand.unddev.net/dict/o-ring/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,o-ring,,default,0,0,0,open,open,"2023-01-21 09:58:35",,,,,,,,,,,,,,,,,,,,,,,
4937,"Ohm (Ω) ความต้านทานไฟฟ้า","หน่วยวัดความต้านทาน ความต้านทาน 1 โอห์ม คือ ความต้านทานระหว่างจุด 2 จุดบนตัวนำ ซึ่งเมื่อจุดคู่นี้มีความต่างศักย์ไฟฟ้า 1 โวลต์แล้ว จะทำให้มีกระแสไฟฟ้าไหลผ่านได้ 1 แอมแปร์",,"2023-01-21 09:58:35",dictionary,https://token-thailand.unddev.net/dict/ohm-%cf%89/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,ohm-%cf%89,,default,0,0,0,open,open,"2023-01-21 09:58:35",,,,,,,,,,,,,,,,,,,,,,,
4938,"Outrigger ขาหยั่ง","ขาหยั่ง/ขาค้ำสำหรับลิฟท์กระเช้ารุ่น AWP GS-3232 Z-80 S-85 GS-5390",,"2023-01-21 09:58:39",dictionary,https://token-thailand.unddev.net/dict/outrigger/,,,,,,,,,,Skymaster,default,publish,4,token,contact@tas-c.com,Token,Thailand,outrigger,,default,0,0,0,open,open,"2023-01-21 09:58:39",,,,,,,,,,,,,,,,,,,,,,,
4939,"P Con กล่องคอนโทรลด้านบน","ตัวกรรไกรของจีนี่สามารถบังคับข้างบน,ข้างล่างได้ ข้างบนเรียก P Con ข้างล่างเรียก G Con",,"2023-01-21 09:58:39",dictionary,https://token-thailand.unddev.net/dict/p-con/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,p-con,,default,0,0,0,open,open,"2023-01-21 09:58:39",,,,,,,,,,,,,,,,,,,,,,,
4940,"Platform ตัวกระเช้า",,,"2023-01-21 09:58:39",dictionary,https://token-thailand.unddev.net/dict/platform/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,platform,,default,0,0,0,open,open,"2023-01-21 09:58:39",,,,,,,,,,,,,,,,,,,,,,,
4941,"Platform Height ความสูง",ความสูงจากพื้นดินถึงพื้นกระเช้า,,"2023-01-21 09:58:39",dictionary,https://token-thailand.unddev.net/dict/platform-height/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,platform-height,,default,0,0,0,open,open,"2023-01-21 09:58:39",,,,,,,,,,,,,,,,,,,,,,,
4942,"Platform Load Sensor เซ็นเซอร์ที่ชั่งน้ำหนัก","รถกระเช้าปกติรับน้ำหนักได้ 200-227 กก. ถ้าเกินจะไม่ให้ยกกระเช้า",,"2023-01-21 09:58:39",dictionary,https://token-thailand.unddev.net/dict/platform-load-sensor/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,platform-load-sensor,,default,0,0,0,open,open,"2023-01-21 09:58:39",,,,,,,,,,,,,,,,,,,,,,,
4943,"Platform Rotation หมุนกระเช้า",ควบคุมการสวิงกระเช้า,,"2023-01-21 09:58:39",dictionary,https://token-thailand.unddev.net/dict/platform-rotation/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,platform-rotation,,default,0,0,0,open,open,"2023-01-21 09:58:39",,,,,,,,,,,,,,,,,,,,,,,
4944,"Power Pack","เครื่องให้กำลังกระแสไฟฟ้า เช่น หม้อแบตเตอรี่ที่ใช้ในรถยนต์",,"2023-01-21 09:58:39",dictionary,https://token-thailand.unddev.net/dict/power-pack/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,power-pack,,default,0,0,0,open,open,"2023-01-21 09:58:39",,,,,,,,,,,,,,,,,,,,,,,
4945,"Pressure Switch สวิทซ์แรงดัน",ทำหน้าที่เปิดระบบเบรค,,"2023-01-21 09:58:39",dictionary,https://token-thailand.unddev.net/dict/pressure-switch/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,pressure-switch,,default,0,0,0,open,open,"2023-01-21 09:58:39",,,,,,,,,,,,,,,,,,,,,,,
4946,"Primary Boom","แขนบูมท่อนที่ 1",,"2023-01-21 09:58:39",dictionary,https://token-thailand.unddev.net/dict/primary-boom/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,primary-boom,,default,0,0,0,open,open,"2023-01-21 09:58:39",,,,,,,,,,,,,,,,,,,,,,,
4947,"PTO (Power Take Off) ระบบขับเคลื่อนเครื่องยนต์",ระบบในการแปลงแรงจากเครื่องยนต์ของรถบรรทุกเพื่อใช้กับวัตถุประสงค์อื่นนอกจากขับเคลื่อนรถ,,"2023-01-21 09:58:39",dictionary,https://token-thailand.unddev.net/dict/pto-power-take-off/,,,,,,,,,,Skymaster,default,publish,4,token,contact@tas-c.com,Token,Thailand,pto-power-take-off,,default,0,0,0,open,open,"2023-01-21 09:58:39",,,,,,,,,,,,,,,,,,,,,,,
4948,"Pump ปั้ม",ตัวปั่นน้ำมัน,,"2023-01-21 09:58:43",dictionary,https://token-thailand.unddev.net/dict/pump/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,pump,,default,0,0,0,open,open,"2023-01-21 09:58:43",,,,,,,,,,,,,,,,,,,,,,,
4949,"Relay รีเลย์",หน้าสัมผัสไฟฟ้า,,"2023-01-21 09:58:43",dictionary,https://token-thailand.unddev.net/dict/relay/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,relay,,default,0,0,0,open,open,"2023-01-21 09:58:43",,,,,,,,,,,,,,,,,,,,,,,
4950,"Relief Valve วาล์วระบายความดัน",ตัวเช็ควาล์ระบบย้อนกลับ,,"2023-01-21 09:58:43",dictionary,https://token-thailand.unddev.net/dict/relief-valve/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,relief-valve,,default,0,0,0,open,open,"2023-01-21 09:58:43",,,,,,,,,,,,,,,,,,,,,,,
4951,"Retract boom",หดบูม,,"2023-01-21 09:58:43",dictionary,https://token-thailand.unddev.net/dict/retract-boom/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,retract-boom,,default,0,0,0,open,open,"2023-01-21 09:58:43",,,,,,,,,,,,,,,,,,,,,,,
4952,"Rotation หมุน",,,"2023-01-21 09:58:43",dictionary,https://token-thailand.unddev.net/dict/rotation/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,rotation,,default,0,0,0,open,open,"2023-01-21 09:58:43",,,,,,,,,,,,,,,,,,,,,,,
4953,"Rotator Platform","ระบบไฮดรอลิคที่สามารถหมุนกระเช้าได้ จะมี2อย่าง",,"2023-01-21 09:58:43",dictionary,https://token-thailand.unddev.net/dict/rotator-platform/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,rotator-platform,,default,0,0,0,open,open,"2023-01-21 09:58:43",,,,,,,,,,,,,,,,,,,,,,,
4954,"Rotator Turntable สวิงบูม","ที่บูมหมุนได้360องศา ที่อยู่ด้านล่าง",,"2023-01-21 09:58:43",dictionary,https://token-thailand.unddev.net/dict/rotator-turntable/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,rotator-turntable,,default,0,0,0,open,open,"2023-01-21 09:58:43",,,,,,,,,,,,,,,,,,,,,,,
4955,"Scissors Lift ลิฟท์กระเช้าแบบขากรรไกร",รถที่สามารถทำงานขึ้น-ลงอย่างเดียว,,"2023-01-21 09:58:43",dictionary,https://token-thailand.unddev.net/dict/scissors-lift/,,,,,,,,,,"Scissors Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,scissors-lift,,default,0,0,0,open,open,"2023-01-21 09:58:43",,,,,,,,,,,,,,,,,,,,,,,
4956,"Screw สกรู","สิ่งที่เป็นเกลียว, สลักเกลียว",,"2023-01-21 09:58:43",dictionary,https://token-thailand.unddev.net/dict/screw/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,screw,,default,0,0,0,open,open,"2023-01-21 09:58:43",,,,,,,,,,,,,,,,,,,,,,,
4957,"Seal ซีล",ยางกันน้ำมันรั่ว,,"2023-01-21 09:58:43",dictionary,https://token-thailand.unddev.net/dict/seal/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,seal,,default,0,0,0,open,open,"2023-01-21 09:58:43",,,,,,,,,,,,,,,,,,,,,,,
4958,"Secondary Boom",แขนบูมท่อนที่2,,"2023-01-21 09:58:46",dictionary,https://token-thailand.unddev.net/dict/secondary-boom/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,secondary-boom,,default,0,0,0,open,open,"2023-01-21 09:58:46",,,,,,,,,,,,,,,,,,,,,,,
4959,Skyboy,"ผู้ผลิตเคนรถกระเช้าของญี่ปุ่น Tadano เรียกรุ่นรถว่า Skyboy",,"2023-01-21 09:58:46",dictionary,https://token-thailand.unddev.net/dict/skyboy/,,,,,,,,,,Skymaster,default,publish,4,token,contact@tas-c.com,Token,Thailand,skyboy,,default,0,0,0,open,open,"2023-01-21 09:58:46",,,,,,,,,,,,,,,,,,,,,,,
4960,Skymaster,"ผู้ผลิตเคนรถกระเช้าของญี่ปุ่น Aichi เรียกรุ่นรถว่า Skymaster",,"2023-01-21 09:58:46",dictionary,https://token-thailand.unddev.net/dict/skymaster/,,,,,,,,,,Skymaster,default,publish,4,token,contact@tas-c.com,Token,Thailand,skymaster,,default,0,0,0,open,open,"2023-01-21 09:58:46",,,,,,,,,,,,,,,,,,,,,,,
4961,"Smart Link","ชื่อระบบคอมพิวเตอร์ของตัวกรรไกร หน้าจอด้านล่าง",,"2023-01-21 09:58:46",dictionary,https://token-thailand.unddev.net/dict/smart-link/,,,,,,,,,,"Scissors Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,smart-link,,default,0,0,0,open,open,"2023-01-21 09:58:46",,,,,,,,,,,,,,,,,,,,,,,
4962,"Socket เต้าเสียบ","ปลั๊กตัวเมีย, ช่องเสียบ",,"2023-01-21 09:58:46",dictionary,https://token-thailand.unddev.net/dict/socket/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,socket,,default,0,0,0,open,open,"2023-01-21 09:58:46",,,,,,,,,,,,,,,,,,,,,,,
4963,"Solenoid Valve โซลินอยด์วาล์ว","อุปกรณ์สวิตช์ที่อาศัย หลักการทำงานของแม่เหล็กไฟฟ้าทำงานร่วมกับกลไกโดยใช้การป้อนไฟเป็นตัวกำหนด การทำงานควบคุมให้ลิ้นกลไกปิดหรือเปิดได้",,"2023-01-21 09:58:46",dictionary,https://token-thailand.unddev.net/dict/solenoid-valve/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,solenoid-valve,,default,0,0,0,open,open,"2023-01-21 09:58:46",,,,,,,,,,,,,,,,,,,,,,,
4964,"Solid Tire ล้อยาง","ล้อยางตัน ส่วนใหญ่ใช้ในรถโฟล์คลิฟท์",,"2023-01-21 09:58:46",dictionary,https://token-thailand.unddev.net/dict/solid-tire/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,solid-tire,,default,0,0,0,open,open,"2023-01-21 09:58:46",,,,,,,,,,,,,,,,,,,,,,,
4965,"Spacer ที่กั้นระยะ",ระยะหุ้มคอนกรีต,,"2023-01-21 09:58:46",dictionary,https://token-thailand.unddev.net/dict/spacer/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,spacer,,default,0,0,0,open,open,"2023-01-21 09:58:46",,,,,,,,,,,,,,,,,,,,,,,
4966,"Spider Crane",รถเครนขนาดเล็กที่มีล้อตีนตะขาบใช้สำหรับยกของทำงานในพื้นที่แคบๆ,,"2023-01-21 09:58:46",dictionary,https://token-thailand.unddev.net/dict/spider-crane/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,spider-crane,,default,0,0,0,open,open,"2023-01-21 09:58:46",,,,,,,,,,,,,,,,,,,,,,,
4967,"Spider Lift","ใช้สำหรับงานที่มีพื้นที่รับน้ำหนักขนาดจำกัด กางขาเหมือนแมงมุม",,"2023-01-21 09:58:46",dictionary,https://token-thailand.unddev.net/dict/spider-lift/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,spider-lift,,default,0,0,0,open,open,"2023-01-21 09:58:46",,,,,,,,,,,,,,,,,,,,,,,
4968,"Spring โลหะที่เด้งได้",คือส่วนของโลหะทีม้วนรอบเป็นวงกลมเพื่อที่จะทำให้ยืดหยุ่นได้,,"2023-01-21 09:58:50",dictionary,https://token-thailand.unddev.net/dict/spring/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,spring,,default,0,0,0,open,open,"2023-01-21 09:58:50",,,,,,,,,,,,,,,,,,,,,,,
4969,"Storage เก็บ","เก็บบูม เก็บขาช้าง เก็บตัวกระเช้า",,"2023-01-21 09:58:50",dictionary,https://token-thailand.unddev.net/dict/storage/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,storage,,default,0,0,0,open,open,"2023-01-21 09:58:50",,,,,,,,,,,,,,,,,,,,,,,
4970,"Strobe Beacon, Flashing Beacon ไฟแวป",สัญญาณไฟฉุกเฉิน,,"2023-01-21 09:58:50",dictionary,https://token-thailand.unddev.net/dict/strobe-beacon-flashing-beacon/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,strobe-beacon-flashing-beacon,,default,0,0,0,open,open,"2023-01-21 09:58:50",,,,,,,,,,,,,,,,,,,,,,,
4971,Telescopic,บูมที่ยืดแบบตรง,,"2023-01-21 09:58:50",dictionary,https://token-thailand.unddev.net/dict/telescopic/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,telescopic,,default,0,0,0,open,open,"2023-01-21 09:58:50",,,,,,,,,,,,,,,,,,,,,,,
4972,"Tilt Sensor ตัวเช็คระดับลาดเอียง","ที่วัดองศาของเครื่องจักร หากไม่อยู่ในพื้นที่ราบเรียบ รถจะไม่ทำงานในกรณีการยก",,"2023-01-21 09:58:50",dictionary,https://token-thailand.unddev.net/dict/tilt-sensor/,,,,,,,,,,"Boom &amp; Scissors",default,publish,4,token,contact@tas-c.com,Token,Thailand,tilt-sensor,,default,0,0,0,open,open,"2023-01-21 09:58:50",,,,,,,,,,,,,,,,,,,,,,,
4973,"Toggle Switch",ทอกเกิลสวิตซ์,,"2023-01-21 09:58:50",dictionary,https://token-thailand.unddev.net/dict/toggle-switch/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,toggle-switch,,default,0,0,0,open,open,"2023-01-21 09:58:50",,,,,,,,,,,,,,,,,,,,,,,
4974,"Tube หลอด","หลอด เช่น ลำกล้อง ยางในรถยนต์",,"2023-01-21 09:58:50",dictionary,https://token-thailand.unddev.net/dict/tube/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,tube,,default,0,0,0,open,open,"2023-01-21 09:58:50",,,,,,,,,,,,,,,,,,,,,,,
4975,"Up & Over","จิ๊บบูม ขึ้น-ลง",,"2023-01-21 09:58:50",dictionary,https://token-thailand.unddev.net/dict/up-over/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,up-over,,default,0,0,0,open,open,"2023-01-21 09:58:50",,,,,,,,,,,,,,,,,,,,,,,
4976,"Valve Brake วาล์วเบรค","วาวล์ของเบรคตัวปลดเบรค ถ้าตัววาล์วไม่เปิดน้ำมันก็จะไม่จ่ายทำให้เบรคไม่ได้",,"2023-01-21 09:58:50",dictionary,https://token-thailand.unddev.net/dict/valve-brake/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,valve-brake,,default,0,0,0,open,open,"2023-01-21 09:58:50",,,,,,,,,,,,,,,,,,,,,,,
4977,"Volt (V) แรงดันไฟฟ้า",,,"2023-01-21 09:58:50",dictionary,https://token-thailand.unddev.net/dict/volt-v/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,volt-v,,default,0,0,0,open,open,"2023-01-21 09:58:50",,,,,,,,,,,,,,,,,,,,,,,
4978,"Washer แหวน",เพื่อป้องกันไม่ให้น็อตหลุด,,"2023-01-21 09:58:54",dictionary,https://token-thailand.unddev.net/dict/washer/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,washer,,default,0,0,0,open,open,"2023-01-21 09:58:54",,,,,,,,,,,,,,,,,,,,,,,
4979,"Watt (W) สัญลักษณ์",หน่วยวัดกำลังไฟฟ้า,,"2023-01-21 09:58:54",dictionary,https://token-thailand.unddev.net/dict/watt-w/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,watt-w,,default,0,0,0,open,open,"2023-01-21 09:58:54",,,,,,,,,,,,,,,,,,,,,,,
4980,"Wire Rope สลิง",,,"2023-01-21 09:58:54",dictionary,https://token-thailand.unddev.net/dict/wire-rope/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,wire-rope,,default,0,0,0,open,open,"2023-01-21 09:58:54",,,,,,,,,,,,,,,,,,,,,,,
4981,"Working Height ความสูงในการทำงาน",,,"2023-01-21 09:58:54",dictionary,https://token-thailand.unddev.net/dict/working-height/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,working-height,,default,0,0,0,open,open,"2023-01-21 09:58:54",,,,,,,,,,,,,,,,,,,,,,,
4982,"Working Radius รัศมีการทำงาน",,,"2023-01-21 09:58:54",dictionary,https://token-thailand.unddev.net/dict/working-radius/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,working-radius,,default,0,0,0,open,open,"2023-01-21 09:58:54",,,,,,,,,,,,,,,,,,,,,,,
4983,"X Lift ลิฟท์กระเช้าแบบขากรรไกร","ชื่อรถยกในการทำงานที่สุง ลักษณะคล้ายกับกรรไกร",,"2023-01-21 09:58:54",dictionary,https://token-thailand.unddev.net/dict/x-lift/,,,,,,,,,,"Scissors Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,x-lift,,default,0,0,0,open,open,"2023-01-21 09:58:54",,,,,,,,,,,,,,,,,,,,,,,
